date | value
2009-01-01 | 1.0
2010-12-31 | 2.5
2011-01-01 | 3.0
2011-01-02 | 4.5
2011-01-03 | 5.0
2011-01-04 | 1.1
2011-01-05 | 2.2
2011-01-06 | 3.3
2011-01-07 | 4.4
2011-01-08 | 5.5
2011-01-09 | 0.5
2011-02-28 | 1.5
2011-02-29 | 2.5
2012-02-28 | 2.8
2012-02-29 | 3.0
2012-03-01 | 3.2
2013-04-31 | 1.0
2013-05-01 | 2.0
2013-12-31 | 5.0
2014-01-01 | 0.5
2015-06-15 | 10000
2016-02-29 | 50.0
2017-02-29 | 20.0
2020-02-29 | 0.25
2020-03-01 | 0.5`
2021-01-01 | -5.0
2022-01-01 | 100000000
2023-01-01 | 1.234567
2024-06-30 | 100.0
2025-01-01 | 42.0
2025-12-31 | 3.14159
2026-01-01 | 2.71828
2027-01-01 | 10.0
invalid | 1.0
2011-01-03 | hello
2011-01-03 hello
2011/01/03 | 2.0
2011-01-03|2.0
2011-01-03 |
 | 2.0
2011-01-03 | -0.5
2011-01-03 | 9999999999
